,Title,Year,IMDB Rating,Summary
206,Logan,2017,8.059,"In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces."
207,Amours chiennes,2000,8.058,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
208,Before Sunrise,1995,8.057,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
209,Hatchi,2009,8.055,A college professor's bond with the abandoned dog he takes into his home.
210,Butch Cassidy et le Kid,1969,8.054,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heals. Their solution - escape to Bolivia."
211,Nausicaä de la vallée du vent,1984,8.051,Warrior/pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
212,Prisoners,2013,8.051,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
213,Princess Bride,1987,8.05,"While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride."
214,La La Land,2016,8.049,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
215,A Wednesday,2008,8.043,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
216,Arrête-moi si tu peux,2002,8.043,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before this 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor."
217,Le faucon maltais,1941,8.042,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
218,Harry Potter et les reliques de la mort: 2ème partie,2011,8.041,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
219,Rocky,1976,8.038,"Rocky Balboa, a small-time boxer, gets a supremely rare chance to fight heavy-weight champion Apollo Creed in a bout in which he strives to go the distance for his self-respect."
220,Les nuits de Cabiria,1957,8.036,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
221,Les raisins de la colère,1940,8.035,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
222,Monstres et Cie,2001,8.031,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
223,Les diaboliques,1955,8.03,"The wife and mistress of a cruel headmaster conspire to kill him; after the murder is committed, his corpse disappears, and strange events begin to plague the two women."
224,Donnie Darko,2001,8.029,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident."
225,Barry Lyndon,1975,8.028,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
226,La barbe à papa,1973,8.027,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
227,Gandhi,1982,8.026,"Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed."
228,La soif du mal,1958,8.024,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town."
229,Terminator,1984,8.024,"A seemingly indestructible Android is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all cost"
230,La haine,1995,8.021,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
231,Un jour sans fin,1993,8.021,A weatherman finds himself inexplicably living the same day over and over again.
232,Le magicien d'Oz,1939,8.02,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home in Kansas and help her friends as well.
233,La vengeance dans la peau,2007,8.017,Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.
234,Le cercle des poètes disparus,1989,8.017,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
235,Annie Hall,1977,8.017,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.
236,Huit et demi,1963,8.016,A harried movie director retreats into his memories and fantasies.
237,Les dents de la mer,1975,8.015,"A local sheriff, a marine biologist and an old seafarer team up to hunt down a great white shark wrecking havoc in a beach resort."
238,In the Mood for Love,2000,8.014,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
239,La couleur des sentiments,2011,8.014,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
240,Les plus belles années de notre vie,1946,8.012,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.
241,"Paris, Texas",1984,8.012,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
242,Infernal Affairs,2002,8.011,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop."
243,L'armée des 12 singes,1995,8.01,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
244,Trois couleurs: Rouge,1994,8.01,A model discovers her neighbor is keen on invading people's privacy.
245,Before Sunset,2004,8.01,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
246,La Belle et la Bête,1991,8.01,"A young woman whose father has been imprisoned by a terrifying beast offers herself in his place, unaware that her captor is actually a prince, physically altered by a magic spell."
247,Drishyam,2015,8.01,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
248,La bataille d'Alger,1966,8.01,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
249,Un après-midi de chien,1975,8.009,A man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus.
250,Gangs of Wasseypur,2012,8.009,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
